question_id,question_text,option_a,option_b,option_c,option_d,option_e,correct_answer_id
118,Tarixi metodun ekologiya sahəsində əhəmiyyəti nədən ibarətdir?,Ekoloji xəritələrin hazırlanması,Təbii fəlakətlərin qarşısının alınması,Keçmiş və gələcək inkişaf üçün proqnozların qurulması,Resursların iqtisadi qiymətləndirilməsi,Hüquqi tənzimləmə,c
119,İqtisadi-riyazi modelləşdirmənin əsas məqsədi nədir?,Normativ sənədlərin hazırlanması,Təhsil resurslarının təkmilləşdirilməsi,Sosial problemlərin həlli,Təbii mühitin çirklənməsindən yaranan iqtisadi zərərlərin qiymətləndirilməsi,Yer səthinin öyrənilməsi,d
120,Normativ metod hansı əsas sənədlər üzərində qurulur?,Təbiət qanunları,Statistika məlumatları,"TİH, KVH və hüquqi normativlər",Ekoloji xəritələr,İqtisadi hesabatlar,c
121,Sistemli yanaşma hansı sahədə mürəkkəb proseslərin tətbigini nəzərdə tutur?,Ekoloji bərpa və mühafizə,Maliyyə planlaşdırma,Sosial problemlər,Normativ tənzimləmə,Tarixi araşdırma,a
122,Kosmik tədqiqatlar metodu əsasən nəyin izlənməsi üçün tətbiq edilir?,Məhsul istehsalı,İnsan fəaliyyəti,Ekoloji tarazlıq,Təbii resursların istifadəsi,Yer kürəsinin kosmik şəraitdə monitorinqi,e
123,Hansı metod təbii resursların iqtisadi qiymətləndirilməsi və regionlarda təbii hadisələrin proqnozlaşdırılmasında istifadə olunur?,Normativ metod,Sistemli yanaşma,Kartoqrafik metod,Kosmik tədqiqatlar metodu,Tarixi metod,c
124,Ətraf mühitin iqtisadiyyatı fənni hansı metoddan istifadə edərək ekologiya və iqtisadi proseslərin tədqiqini vahid müstəvidə öyrənməyi təklif edir?,Normativ metod,Tarixi metod,Kartoqrafik metod,Sistemli yanaşma,Dialektik metod,e
125,Ətraf mühitin iqtisadiyyatında dövlət tənzimləmə sisteminin əsas məqsədi nədir?,Təbii ehtiyatların ixracının artırılması,Texnogen tullantıların təşviq edilməs,Maliyyə bazarlarının genişləndirilməsi,Ekoloji siyasətin gücləndirilməsi,Şəhər infrastrukturunun genişləndirilməsi,d
126,Ətraf mühitin iqtisadiyyatında təbii resursların balanslaşdırılması necə təmin edilir?,Yalnız istehsalın artırılması ilə,Ekoloji maarifləndirmə ilə,Sənaye tullantılarının artırılması ilə,Təbiətdən istifadənin idarə edilməsi ilə,Texnologiyanın ekoloji bazasının genişləndirilməsi ilə,d
127,Təbii mühitdən istifadənin hüquqi müdafiəsinə hansı tədbir daxildir?,İnfrastruktur layihələrinin inkişafı,Təbii ehtiyatların hüquqi qorunması,Ekoloji vergi sisteminin tətbiqi,Resurs qoruyucu strategiyanın hazırlanması,Bazar iqtisadiyyatının tənzimlənməsi,b
128,Ətraf mühitin iqtisadiyyatı fənninin planlaşdırma sisteminə aid olan nədir?,Monitorinq və nəzarət sistemləri,Maliyyə bazarlarının tənzimlənməsi,Ekoloji maarifləndirmə proqramları,Təbii ehtiyatların bölüşdürülməsi,İqtisadi texnologiyaların təkmilləşdirilməsi,a
129,Ətraf mühitin iqtisadiyyatında hansı funksiyalar yerinə yetirilir?,Şəhər planlamasının genişləndirilməsi,İdxal-ixrac balansının təyin edilməsi,Ekoloji maraqların razılaşdırılması,İstehsal sistemlərinin artırılması,Təhsil siyasətinin hazırlanması,c
130,Ekoloji-iqtisadi sistem nəyi ifadə edir?,Təbii ehtiyatların yox edilməsini,İnsan fəaliyyəti ilə təbiətin əlaqəsinin kəsilməsini,Təbii mühitin məhv edilməsini,Təbiət və iqtisadiyyatın qarşılıqlı əlaqəsini,Təbii ehtiyatların yox edilməsini,d
131,Ətraf mühitin iqtisadiyyatında təbiətdən istifadənin səmərəliliyi üçün hansı yol vacibdir?,Hüquqi müdafiənin zəiflədilməsi,Təbiətin məhv edilməsi,Təbii ehtiyatların ixracının artırılması,Dayanıqlı ekoloji-iqtisadi inkişaf yollarının müəyyən edilməsi,İstehsalın azalması,d
132,Okeanlarda suyun orta dərinliyi nə qədərdir?,3711 metrdir,3597 metr,1225 metr,3976 metr,8742 metr,a
133,Okean sularının ən çox yayılan kimyəvi elementi hansıdır?,Karbon qazı,Kalsium duzları,Maqnezium,Natrium-xlordur,Hidrogen peroksid,d
134,Hidrosferdə suyun kiçik dövranının əsas xüsusiyyəti nədir?,Şirin suyun yalnız quru ərazilərdə buxarlanması və yağıntıya çevrilməsi ilə tamamlanması,Çay və göllər üzərində yaranan su dövranı,Suyun yalnız buxarlanma halında hərəkət etməsi,Okean və dənizlər üzərində buxarlanan suyun atmosferdə kondensasiya olunaraq yenidən həmin su hövzələrinə yağış şəklində qayıtması və bu dövranın çox sadə bir proses olması,Quraq bölgələrdə atmosfer buxarının artması,d
135,Suyun kiçik dövranı nəyi ifadə edir?,Quru üzərində buxarlanmış suyun atmosferə qayıtması,Atmosferdə su molekullarının hərəkətini,Çaylardan buxarlanan suyun göllərə qayıtması prosesidir,Yalnız şirin su dövranını,"Okean üzərində buxarlanmış suyun yenidən yağıntı şəklində okeana qayıtması, bu zaman suyun tərkibi dəyişmir və yalnız dövranı təmin edir",e
136,Aralıq dənizi hansı qrupa aiddir?,Qapalı dənizlərdir,Şelf dənizləridir,Kənar dənizlərdir,Adalararası dənizlərdir,"Daxili dənizlərdir, çünki materiklərin daxilinə çox irəliləmiş və okeanla yalnız boğaz vasitəsilə əlaqəlidir",e
137,Dünya okeanı neçə əsas hissəyə bölünür?,6 əsas hissəyə,5 əsas hissəyə,3 əsas hissəyə,"4 əsas hissəyə, yəni Sakit, Atlantik, Hind və Şimal Buzlu okeanlara",2 əsas hissəyə,d
138,Sakit okeanın ən dərin nöqtəsi haradır?,Yava yarğanı,Qrenlandiya dənizi çökəkliyi,Bellinshauzen dibi,"Mariana çökəkliyi, hansı ki, 11.022 metr dərinliyə çatır və bu, dünya okeanlarının ən dərin nöqtəsi hesab olunur",Puerto-Riko çökəkliyi,d
139,Hidrosferdə suyun yaranması ilə bağlı ən çox qəbul olunan nəzəriyyə hansıdır?,Çay və göllərin birləşməsi ilə yaranan təbəqə,Vulkanik fəaliyyətlər zamanı Yerin dərin qatlarından qalxan su buxarının atmosferdə soyuyaraq maye halına keçməsi və uzunmüddətli yağışlar nəticəsində toplanması,Atmosferdə oksigen və hidrogenin reaksiyaya girməsi ilə suyun yaranması,Meteoritlərlə kosmosdan gətirilən su ehtiyatlarının birləşməsi,Səth sularının buxarlanaraq yenidən yerə qayıtması prosesi,b
140,Dünya okeanındakı suyun ümumi həcmi nə qədərdir?,2 milyard kub kilometr,"1,7 milyard kub kilometr",1 milyard kub kilometr,"0,7 milyard kub kilometr","1,4 milyard kub kilometr",e
141,Hidrosferin təsərrüfat sistemində əsas funksiyalarından biri nədir?,Atmosferin rütubət səviyyəsini qorumaq,Təbiətdə yalnız şirin su dövranını təmin etmək,Vulkanik fəaliyyətlərə təsir etmək,Torpağın rütubətini artırmaq,"Günəşdən gələn istiliyin əsas hissəsini udmaq, onu saxlayaraq yerin digər sahələrinə paylamaq və qlobal iqlim sisteminə təsir etmək",e
142,Okean suyunun orta duzluluğu nə qədərdir?,"35 promildir, yəni hər 1 kq okean suyunda təxminən 35 qram həll olunmuş duz olur və bu, planetimizin okean sularının sabit kimyəvi tərkibinin göstəricisidir","30 promildir, bu da suyun minerallaşmasını göstərən vacib göstəricidir","25 promildir, lakin bəzi dənizlərdə bu göstərici artmış ola bilər","20 promildir, əsasən buzlaq ərazilərdə","40 promildir, əsasən tropik enliklərdə",a
143,Əhalinin təbii artımı necə hesablanır?,Bütün variantlar doğrudur,Doğum faizinə miqrasiya faizini əlavə etməklə,Ölümlərin sayını doğumların sayına bölərək,Doğum faizindən ölüm faizini çıxaraq,Miqrasiya və doğum göstəricilərini toplamaqla,d
144,Azərbaycan Respublikasında əhalinin təbii artım göstəriciləri necə dəyişir?,Mənfi artım müşahidə edilir,Hamısı,Artım hər il azalır,Sabit artım var,Artım yüksəkdir,d
145,Təbii artımın mənfi olduğu hal necə adlanır?,Əhali azalması,Doğru cavab yoxdur,Əhali sıxlığı,Demoqrafik partlayış,İnteqral göstərici,a
146,Əhalinin təbii artımı hansı göstəricilərdən asılıdır?,Miqrasiya və şəhərləşmə,Doğum və miqrasiya,Yaşayış səviyyəsi və miqrasiya,Bütün cavablar doğrudur,Doğum və ölüm,e
147,Əhalinin təbii artımı nədir?,Əhali sıxlığının artması,Doğru cavab yoxdur,Ümumi əhali sayının dəyişməsi,doğum və ölüm arasındakı fərq,Miqrasiya nəticəsində yaranan əhali artımı,d
148,Azərbaycan Respublikasında milli azlıqların hüquqları hansı sənədlə qorunur?,BMT-nin İnsan Hüquqları Bəyannaməsi,Hamısı,Avropa Şurası Konvensiyası,Azərbaycan Konstitusiyası,Milli Məclisin qərarı,d
149,Hansı qitə demoqrafik partlayışın ən yüksək səviyyədə olduğu bölgədir?,Avropa,Düzgün cavab yoxdur,Şimali Amerika,Afrika,Asiya,d
150,Azərbaycan Respublikasının milli azlıqları arasında ən kiçik etnik qrup hansıdır?,Tatlar,Avarlar,Hamısı,Ləzgilər,Udinlər,e
151,Talışlar əsasən Azərbaycanın hansı bölgələrində yaşayırlar?,Dağlıq Qarabağ,Doğru cavab yoxdur,Quba-Xaçmaz,Şəki-Zaqatala,Lənkəran-Astara,e
152,Azərbaycanın Qusar rayonu əsasən hansı etnik qrupun nümayəndələri tərəfindən məskunlaşıb?,Kürdlər,Hamısı,Avarlar,Ləzgilər,Tatlar,d
153,Azərbaycan Respublikasında yaşayan yəhudi icmasının ən qədim qrupu hansıdır?,Karaimlər,Düzgün cavab yoxdur,Aşkenazi yəhudiləri,Sefard yəhudiləri,Dağ yəhudiləri,e
154,Azərbaycan Respublikasında yaşayan etnik azlıqlardan hansılar dağlıq ərazilərdə məskunlaşıblar?,Udinlər,Kürdlər,Düzgün cavab yoxdur,Avarlar və Ləzgilər,Talışlar,d
155,Azərbaycan Respublikasında ən çox yayılmış azsaylı etnik qruplardan biri hansıdır?,Farslar,Düzgün cavab yoxdur,Yəhudilər,Almanlar,Talışlar,e
156,Azərbaycan əhalisinin təxminən neçə faizi azərbaycanlılardan ibarətdir?,99.00%,55.00%,45.00%,65.00%,91.00%,e
157,Azərbaycan Respublikasının əhalisinin əsas etnik qrupu hansıdır?,Talışlar,Heç biri,Ləzgilər,Azərbaycan türkləri,Ruslar,d
158,Dünyada ən qədim dinlərdən biri hansıdır?,İslam,Düzgün cavab yoxdur,Buddizm,Hinduizm,Xristianlıq,d
159,Dünyada ən çox yayılmış din hansıdır?,Buddizm,Düzgün cavab yoxdur,İslam,Hinduizm,Xristianlıq,e
160,Urbanizasiya prosesini tarazlaşdırmaq üçün əsas siyasət nə ola bilər?,Kəndlərdə infrastruktur inkişaf etdirmək,Düzgün cavab yoxdur,Kənd yerlərində təhsil və səhiyyə xidmətlərini yaxşılaşdırmaq,Hamısı,Şəhər yerlərində əhali sıxlığını azaltmaq,d
161,Urbanizasiya ilə bağlı hansı problemin taraz urbanizasiya ilə həll olunması mümkündür?,Şəhərlərdə sıxlığın azaldılması,Düzgün cavab yoxdur,Şəhər və kəndlər arasında bərabər paylanma,Hamısı,Kənd yerlərinin iqtisadi inkişafı,d
162,Nataraz urbanizasiyanın kəndlərə təsiri hansıdır?,Kənd təsərrüfatının inkişafı,Bütün cavablar doğrudur,Kənd əhalisinin təhsilli olması,əhalinin azalması və yaşlanması,Kəndlərin sənayeləşməsi,d
163,Hansı ölkələrdə taraz urbanizasiya daha çox müşahidə olunur?,Hamısı,Sürətlə inkişaf edən sənaye ölkələri,Az inkişaf etmiş ölkələr,Yüksək inkişaf etmiş ölkələr,Adaları əhatə edən ölkələr,d
164,Ətraf mühitin iqtisadiyyatında əsas diqqət nəyə yönəldilir?,Maliyyə bazarına,Texnologiyanın inkişafına,Təbii resursların məhv edilməsinə,Ekoloji-iqtisadi problemlərin həllinə,Şəhər infrastrukturuna,d
165,Ətraf mühitin iqtisadiyyatı hansı elmlərlə əlaqədardır?,Biologiya və coğrafiya,İqtisadiyyat və tarix,İnformatika və mühəndislik,Riyaziyyat və fizika,Astronomiya və kimya,a
166,Ətraf mühitin iqtisadiyyatı fənninin məqsədi nədir?,Texnogen tullantıları artırmaq,Regional inkişafı dayandırmaq,Təbiəti tənzimləmə mexanizmini ləğv etmək,Resurslardan istifadənin effektivliyini artırmaq,Əhalinin sağlamlıq səviyyəsini azaltmaq,d
167,Hansı metod ətraf mühitin iqtisadi modelləşdirilməsində istifadə olunur?,Kartoqrafik metod,Tarixi metod,Sistemli yanaşma,İqtisadi-riyazi modelləşdirmə,Normativ metod,d
168,Ətraf mühitin iqtisadiyyatının yaranma dövrü hansı ilə bağlıdır?,XIX əsr,XX əsrin əvvəlləri,XXI əsr,XVIII əsr,XX əsrin ikinci yarısı,e
169,Təbii resursların istifadəsi və istehlakı hansı yanaşma ilə öyrənilir?,Normativ metod,Kartoqrafik metod,Tarixi metod,Dialektik metod,Sistemli yanaşma,e
170,Kartoqrafik metod əsasən hansı məqsədlə istifadə olunur?,Kosmik şəkillərlə ətraf mühiti müşahidə etmək üçün,Təbii resursların iqtisadi təhlili üçün,Normativlərin tərtib edilməsi üçün,Tarixi inkişafı izləmək üçün,Sənaye istehsalını artırmaq üçün,a
171,Normativ metod nəyi tədqiq edir?,Əhali artımını,Resursların idarə edilməsini,Ekoloji və iqtisadi proseslərin tarixini,Kosmik dəyişiklikləri,Təbii mühitin normativlərini,e
172,Sistemli yanaşmanın məqsədi nədir?,Tarixi faktların araşdırılması,Təbiətin qanunlarının tətbiqi,Resursların iqtisadi təhlili,Sosial proseslərin öyrənilməsi,Təbii mühitin bərpası və mühafizəsi,e
173,Ətraf mühitin iqtisadiyyatının əsas tədqiqat obyektlərindən biri hansıdır?,Təbiət resurslarının qorunması və istifadəsi,Sənaye istehsalı,İqtisadi proseslər,Şəhərsalma prosesləri,Enerji sektorunun inkişafı,a
174,Tarixi metodun əsas xüsusiyyəti nədir?,Kosmik tədqiqatların aparılması,Ekoloji normativlərin yaradılması,Təbii mühitin qorunması,Resursların iqtisadi qiymətləndirilməsi,Gələcək inkişafın proqnozlaşdırılması,e
175,Ətraf mühitin iqtisadiyyatında hansı metod təbiət və iqtisadi proseslərin birgə öyrənilməsini təklif edir?,Sistemli yanaşma,Tarixi metod,Kartoqrafik metod,Dialektik metod,Normativ metod,d
176,Ətraf mühitin iqtisadiyyatının yaranmasının əsas səbəbləri nələrdir?,İnsan resurslarının artması,Təbii resursların qorunması və bərpası,Təhsil səviyyəsinin yüksəlməsi,Şəhərləşmə proseslərinin genişlənməsi,Sənayeləşmənin artması,b
177,Torpağın əmələ gəlməsi üçün hansı amil vacib deyil?,İqlim,Vulkan püskürməsi,Orqanizmlər,Zaman,Ana süxur,b
178,Torpaqda suyun tutulmasını təmin edən xüsusiyyət hansıdır?,Rütubət tutumu,Kimyəvi tərkib,Sıxlıq,Temperatur,Sərtlik,a
179,Hansı süxur növü kimyəvi reaksiyalarla yaranır?,Maqmatik,Kimyəvi çökmə süxurları,Vulkanik,Fiziki çökmə süxurları,Metamorfik,b
180,Yer qabığının ən xarici qatında hansı süxurlar daha çoxdur?,Metamorfik süxurlar,Vulkanik süxurlar,İntruziv süxurlar,Çöküntü süxurlar,Maqmatik süxurlar,d
181,Torpaq hansı təbəqənin üst hissəsini təşkil edir?,Hidrosfer,Astenosfer,Atmosfer,Biosfer,Litosfer,e
182,Hidrosferin ən böyük su ehtiyatı harada toplanmışdır?,Atmosferdə toplanmış buludlarda,"Yeraltı sularda cəmlənmişdir, çünki bu sular atmosferdən daha sabit bir tərkibə malikdir","Qar və buzlaqlarda, çünki burada şirin su ehtiyatları toplanır","Dünya okeanında, çünki planetdə mövcud olan bütün suyun 96,5%-i burada yerləşir","Quru sularında, yəni çay və göllərdə",d
183,Hidrosfer nədir?,Atmosferdə yerləşən suların yığılmış halıdır.,Suyun buxar halında olduğu yer qatıdır,Yalnız şirin suları əhatə edən təbəqə,"Yerin su təbəqəsi olub, okeanlar, dənizlər, göllər, çaylar və buzlaqları əhatə edən təbəqəsidir, həmçinin yeraltı və atmosfer sularını da özündə birləşdirir","Yerin su, hava və torpaq təbəqələrinin birgə adı.",d
184,Taraz urbanizasiyanın təmin edilməsi üçün hansı tədbirlər görülməlidir?,Kənd yerlərində iqtisadi fəaliyyətlərin artırılması,Düzgün cavab yoxdur,İnfrastrukturun hər iki məkanda bərabər inkişafı,Hamısı,Şəhərlərdə miqrasiyanın məhdudlaşdırılması,d
185,Nataraz urbanizasiyanın əsas səbəblərindən biri hansıdır?,Kənd təsərrüfatının geriləməsi,Düzgün cavab yoxdur,Kənd yerlərində iş imkanlarının az olması,Şəhərlərdə daha yaxşı həyat şərtlərinin olması,Hamısı,e
186,Taraz urbanizasiyanın əsas məqsədi nədir?,Hamısı,Şəhərlərdə əhalinin sayını artırmaq,Kənd yerlərində infrastruktur yaratmaq,Şəhər və kənd arasında sosial-iqtisadi bərabərliyi təmin etmək,Şəhərdən kəndə köçü təşviq etmək,d
187,Nataraz urbanizasiyanın mənfi nəticələrindən biri hansıdır?,İnfrastruktur problemlərinin yaranması,Düzgün cavab yoxdur,Kənd yerlərinin boşalması,Şəhərlərdə işsizlik və sıxlıq,Hamısı,e
188,Nataraz urbanizasiya hansı xüsusiyyətlərlə xarakterizə olunur?,Düzgün cavab yoxdur,Şəhər və kənd arasında qeyri-bərabər inkişaf,Hamısı,Kəndlərdə iqtisadi fəaliyyətin dayanması,Şəhərlərin həddindən artıq yüklənməsi,c
189,Taraz urbanizasiya nə deməkdir?,Şəhər əhalisinin azalması,Hamısı,Şəhərlərin qeyri-bərabər inkişafı,Kənd yerlərinin sürətlə inkişafı,Şəhər və kənd arasında bərabər inkişaf,e
190,Hansı faktor miqrasiyaya ən çox təsir edir?,Düzgün cavab yoxdur,Əhalinin sağlamlıq durumu,Sosial və iqtisadi imkanlar,Mədəni fərqliliklər,İqlim dəyişiklikləri,c
191,Miqrasiyanın mənfi təsirlərinə nümunə olaraq nə göstərilə bilər?,Hamısı,Bütün cavablar doğrudur,Şəhərlərdə sıxlığın artması,Əhali yaşlanması,Sosial gərginliklər,a
192,Urbanizasiya prosesi miqrasiyanın hansı növünə aiddir?,Xarici miqrasiya,Hamısı,Beynəlxalq miqrasiya,Kənddən şəhərə miqrasiya,Şəhərdən kəndə miqrasiya,d
193,Müharibə zamanı məcburi miqrasiyanın əsas səbəbi nədir?,Yüksək həyat səviyyəsi axtarışı,Düzgün cavab yoxdur,Mədəniyyətlərarası əlaqələrin inkişafı,Təhlükəsizlik və sığınacaq axtarışı,Təhsil imkanlarının genişlənməsi,d
194,"Beyin axını"" ifadəsi nə deməkdir?",Texnologiyanın inkişafı nəticəsində iş yerlərinin itirilməsi,Şəhərlərdən kəndlərə köç,Təhsil almaq məqsədilə müvəqqəti köç,Hamısı,Yüksək ixtisaslı mütəxəssislərin xaricə köçməsi,e
195,Miqrasiya balansı nəyi ifadə edir?,Köç edənlərin ümumi sayını,Düzgün cavab yoxdur,Doğum və ölüm səviyyələrinin fərqini,Gələn və gedənlərin fərqini,Əhalinin artım səviyyəsini,d
196,Xarici miqrasiyanın əsas səbəbləri hansılardır?,Təbii fəlakətlər,Bütün cavablar doğrudur,Sosial münaqişələr və müharibələr,Hamısı,"İşsizlik, iqtisadi çətinliklər",d
197,Daxili miqrasiya nə deməkdir?,Təbii fəlakət zamanı köç,Hamısı,Əhalinin beynəlxalq sərhədləri keçərək köçməsi,Əhalinin müvəqqəti köçməsi,Əhalinin ölkə daxilində bir ərazidən digərinə köçməsi,e
198,Miqrasiya hansı əsas növlərə bölünür?,Müvəqqəti və daimi,Şəhər və kənd,Doğru cavab yoxdur,Daxili və xarici,Təbii və süni,d
199,Miqrasiya nə deməkdir?,Əhalinin gəlir səviyyəsi dəyişməsi,Hamısı,Əhalinin yaş qruplarının dəyişməsi,Əhalinin bir yerdən başqa bir yerə köçməsi,Əhalinin təhsil səviyyəsinin yüksəlməsi,d
200,Avropa ölkələrində əhali piramidaları hansı tipə aiddir?,Asimmetrik,Düzgün cavab yoxdur,Sürətlə genişlənən,Sabit,Daralan,e
201,Afrika ölkələrinin əhali piramidaları hansı xüsusiyyətlərə malikdir?,Hamısı,Yaşlı əhalinin çoxluğu,"Dar baza, geniş orta hissə","Geniş baza, dar zirvə",Orta yaş qrupunun üstünlük təşkil etməsi,d
202,Hansı element torpaqda daha çox olur?,Oksigen,Yod,Qızıl,Mis,Gümüş,a
203,Yer qabığında hansı proses nəticəsində qırıntı süxurlar yaranır?,Yüksək təzyiq,Maqmanın soyuması,Vulkan püskürməsi,Aşınma və daşınma,Yeraltı təzyiq,d
204,Yer qabığının ən sıx qatı hansıdır?,Pedosfer,Aşınma qabığı,Çökmə qat,Qranit qatı,Bazalt qatı,e
205,Nüvə hansı formada olur?,Yalnız bərk,Ərimə halında,Yalnız maye,Yalnız qaz,Maye və bərk,e
206,Yerin daxili təbəqələri hansılardır?,"Torpaq, su, hava","Atmosfer, biosfer, hidrosfer","Litosfer, pedosfer, kriosfer","Nüvə, mantiya, qabıq","Okean, qitə, dağ",d
207,Torpaq hansı formada qaz mübadiləsində iştirak edir?,Dəniz suyu ilə qarışaraq,Atmosferlə qaz mübadiləsi ilə,Yerin nüvəsi ilə təmasda olaraq,Yeraltı su axınları ilə,Vulkan püskürmələri ilə,b
208,Hansı süxur üzvi mənşəlidir?,Qranit,Torf,Bazalt,Gips,Andezit,b
209,Metamorfik süxur nümunəsi hansıdır?,Bazalt,Qranit,Torf,Gips,Kvarsit,e
210,Yer qabığının ən yuxarı təbəqəsi necə adlanır?,Pedosfer,Mantiya,Atmosfer,Litosfer,Yuxarı nüvə,d
211,Bazalt süxuru hansı rəngdə olur?,Sarı,Yaşıl,Qırmızı,Ağ,Tünd-boz və ya qara,e
212,Torpaqəmələgəlmədə hansı amil mikroiqlimə təsir edir?,Zaman,İqlim,Ana süxur,Relyef,Qurunt suları,d
213,Yer qabığında ən çox rast gəlinən süxur növü hansıdır?,Üzvi süxurlar,Maqmatik süxurlar,Metamorfik süxurlar,Çöküntü süxurlar,Vulkanik süxurlar,d
214,Torpağın humusla ən zəngin qatı necə adlanır?,B qatı,A qatı,D qatı,E qatı,C qatı,b
215,Yer qabığında geotermik pillə nədir?,Yer qabığında təzyiqin artma sürəti,Vulkanik fəaliyyətin pilləsi,Süxurların sıxlıq pilləsi,Temperaturun hər 1°C artdığı dərinlik,Yer qabığının qalınlıq ölçüsü,d
216,Yer qabığının okeanlarda qalınlığı nə qədərdir?,50-60 km,25-30 km,15-20 km,5-10 km,35-40 km,d
217,Metamorfizasiya nədir?,Süxurların səthdə soyuması prosesi,Süxurların yüksək təzyiq və temperaturda dəyişməsi,Yeraltı qazların çıxması,Süxurların eroziyası,Torpağın yaranma prosesi,b
218,Torpağın mexaniki tərkibində ən kiçik hissəciklər hansılardır?,Torf,Qum,Çınqıl,Gil,Qranit,d
219,Torpaq öz-özünü necə təmizləyir?,Kimyəvi eroziya ilə,Vulkan püskürməsi ilə,Fiziki parçalanma ilə,Bioloji proseslərlə,Günəş şüaları ilə,d
220,Yerin daxili nüvəsinin radiusu nə qədərdir?,2900 km,1000 km,500 km,1300 km,2000 km,d
221,Çöküntü süxurlar necə əmələ gəlir?,Maqmanın soyuması nəticəsində,Süxurların parçalanaraq daşınması və çökməsi ilə,Yeraltı qazların təsiri ilə,Vulkan püskürmələri nəticəsində,Yüksək təzyiq və temperatur altında dəyişmə ilə,b
222,Torpaq əmələ gətirən amillərdən biri deyil:,Relyef,Orqanizmlər,İqlim,Günəş sistemi,Ana süxur,d
223,Yer qabığının ən dərin qatının adı nədir?,Çökmə qat,Üzvi qat,Bazalt qat,Magmatik qat,Qranit qat,c
224,Metamorfik süxurların nümunəsi hansıdır?,Qranit,Mərmər,Torf,Gips,Bazalt,b
225,Bazalt hansı növ süxurdur?,Metamorfik,Üzvi mənşəli,Effuziv maqmatik,Çökmə,İntruziv maqmatik,c
226,Torpağın üst münbit qatına nə deyilir?,Ana süxur,Mantiyanın səthi,Geosfer,Pedosfer,Aşınma qabığı,d
227,Geotermik qradient nədir?,Yer qabığının qalınlığı,Temperaturun dərinliklə artma sürəti,Yer qabığının seysmik fəallığı,Yer qabığının sıxlığı,Süxurların sərtlik dərəcəsi,b
228,Torpaq hansı iki əsas komponentdən ibarətdir?,Qum və gil,Daş və çınqıl,Hava və su,Mineral və üzvi hissələr,Maqmatik və metamorfik süxurlar,d
229,Dünya əhalisinin yaşlanması hansı faktla izah olunur?,Təhsilin inkişafı,Düzgün cavab yoxdur,Miqrasiyanın artması,Urbanizasiya səviyyəsinin yüksəlməsi,Doğum səviyyəsinin azalması və ölüm səviyyəsinin aşağı olması,e
230,Kişilərin sayının qadınlardan çox olduğu cəmiyyətlərdə hansı problem daha çox müşahidə olunur?,Miqrasiya axını,Hamısı,İşsizlik artımı,Sosial qeyri-bərabərlik,Evlənmə çətinliyi,e
231,Hansı amil cins-yaş strukturuna birbaşa təsir edir?,İqlim dəyişikliyi,Düzgün cavab yoxdur,Urbanizasiya,Doğum və ölüm səviyyələri,Texnologiya inkişafı,d
232,Cins-yaş piramidasında əmək qabiliyyətli əhali hansı yaş qruplarına daxildir?,0-14 yaş,15-20 yaş,10-50 yaş,15-64 yaş,65 yaş və yuxarı,d
233,"Əhali piramidasının ""daralan baza"" tipi hansı demoqrafik vəziyyəti göstərir?",Doğum səviyyəsinin aşağı olması,Hamısı,Doğum səviyyəsinin yüksək olması,Ölüm səviyyəsinin yüksək olması,Miqrasiyanın yüksək olması,a
234,Yaş qruplarına əsasən əhali neçə kateqoriyaya bölünür?,4,5,6,3,2,d
235,Cins-yaş piramidasında hansı kateqoriyalar əks olunur?,Bütün variantlar doğrudur,Təqaüdçülərin sayı,Yalnız işləyən əhali,Kişilər və qadınların hər yaş qrupundakı payı,Uşaq və gənclərin sayı,d
236,Cins-yaş piramidası nəyi ifadə edir?,Əhalinin gəlir səviyyəsini,Əhalinin həyat tərzini,Əhalinin yaş və cins strukturunu,Əhalinin təhsil səviyyəsini,Hamısı,c
237,Hansı şəhər Azərbaycanın ikinci böyük şəhəri olaraq qəbul edilir?,Mingeçevir,Quba,Şəki,Gəncə,Sumqayıt,d
238,Azərbaycanın etnik tərkibində hansı qrup ikinci yeri tutur?,Tatarlar,Ruslar,Heç biri,Avarlar,Lezgilər,e
239,Azərbaycanın əhalisinin ən çox miqrasiya etdiyi ölkə hansıdır?,İran,Amerika,Almaniya,Türkiyə,Rusiya,e
240,Azərbaycan əhalisinin hansı hissəsi şəhərlərdə yaşayır?,70.00%,30.00%,50.00%,40.00%,60.00%,e
241,Azərbaycan Respublikasında ən çox əhali sıxlığına malik region hansıdır?,Gəncə,Şabran,Lənkəran,Quba,Bakı,e
242,Azərbaycanın hansı şəhəri xüsusilə sənaye və iqtisadi mərkəz kimi tanınır?,Gəncə,Şirvan,Şirvan,Bakı,Lənkəran,d
243,Azərbaycan Respublikasına xaricdən daxil olan miqrasiya əsasən hansı regionlardan gəlir?,Cənubi Amerikadan,Britaniya,Avropadan,Afrikadan,Asiya və Yaxın Şərqdən,e
244,Azərbaycanın ən böyük şəhəri hansıdır?,Lənkəran,Bakı,Mingeçevir,Gəncə,Sumqayıt,b
245,Azərbaycan Respublikasının əhalisinin ümumi sayı nə qədərdir (2023-cü il vəziyyətinə görə)?,8 milyon,12 milyon,5 milyon,14 milyon,10 milyon,e
246,Azərbaycan Respublikasında ən çox yaşayan etnik qrup hansıdır?,Tatarlar,Avarlar,Ruslar,Azərbaycanlılar,Ləzgilər,d
